[2017-03-06 16:37:09]WorkStatu [rcvTime=2017-03-06 16:18:59.993, imei=800000000000015, msgTime=2017-03-06 16:18:31.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:11]WorkStatu [rcvTime=2017-03-06 16:19:13.836, imei=800000000000035, msgTime=2017-03-06 16:18:45.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:12]WorkStatu [rcvTime=2017-03-06 16:19:16.711, imei=800000000000007, msgTime=2017-03-06 16:18:48.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:12]WorkStatu [rcvTime=2017-03-06 16:18:45.946, imei=800000000000016, msgTime=2017-03-06 16:18:17.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:12]WorkStatu [rcvTime=2017-03-06 16:19:18.086, imei=800000000000041, msgTime=2017-03-06 16:18:50.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:12]WorkStatu [rcvTime=2017-03-06 16:19:14.774, imei=800000000000043, msgTime=2017-03-06 16:18:16.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:17.758, imei=800000000000020, msgTime=2017-03-06 16:18:19.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:22.180, imei=800000000000004, msgTime=2017-03-06 16:18:24.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:03.961, imei=800000000000025, msgTime=2017-03-06 16:18:35.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:04.633, imei=800000000000024, msgTime=2017-03-06 16:18:36.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:23.977, imei=800000000000035, msgTime=2017-03-06 16:18:55.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:17.758, imei=800000000000020, msgTime=2017-03-06 16:18:49.246, pgnId=13, listItem={72=1, 73=0}]
